Date,KBP1424D,KBP1425D,KBP1437D,KBP1438D,KBP1440D,KBP1456D,KBP1457D,KBP1481D,KBP1482D,KBP1484D
1998-02-28,,,0,,,,,0,0,
1998-03-02,,,0,,,,,0,0,
1998-03-03,,,0,,,,,0,0,
1998-03-04,,,0,,,,,0,0,
1998-03-05,,,0,,,,,0,0,
1998-03-06,,,0,,,,,0,0,
1998-03-07,,,0,,,,,0,0,
1998-03-09,,,5000,,,,,0,33,
1998-03-10,,,800,,,,,0,233,
1998-03-11,,,900,,,,,0,0,
1998-03-12,,,400,,,,,0,545,
1998-03-13,,,900,,,,,0,11,
1998-03-14,,,0,,,,,0,4,
1998-03-16,,,1300,,,,,0,357,
1998-03-17,,,1800,,,,,0,11,
1998-03-18,,,250,,,,,0,54,
1998-03-19,,,0,,,,,0,41,
1998-03-20,,,500,,,,,0,345,
1998-03-21,,,0,,,,,0,0,
1998-03-23,,,1100,,,,,0,1135,
1998-03-24,,,1800,,,,,0,0,
1998-03-25,,,600,,,,,0,0,
1998-03-26,,,0,,,,,0,0,
1998-03-27,,,1000,,,,,0,98,
1998-03-28,,,0,,,,,0,3,
1998-03-30,,,800,,,,,0,15,
1998-03-31,,,1200,,,,,0,243,
1998-04-01,,,2400,,,,,0,17,
1998-04-02,,,0,,,,,0,629,
1998-04-03,,,1600,,,,,0,402,
1998-04-04,,,0,,,,,0,316,
1998-04-06,,,800,,,,,0,109,
1998-04-07,,,1700,,,,,0,115,
1998-04-08,,,2500,,,,,0,0,
1998-04-09,,,1950,,,,,0,31,
1998-04-10,,,0,,,,,0,0,
1998-04-11,,,0,,,,,0,0,
1998-04-13,,,0,,,,,0,0,
1998-04-14,,,1800,,,,,0,0,
1998-04-15,,,2300,,,,,0,0,
1998-04-16,,,1000,,,,,0,554,
1998-04-17,,,0,,,,,0,698,
1998-04-18,,,0,,,,,0,1162,
1998-04-20,,,500,,,,,0,1573,
1998-04-21,,,2300,,,,,0,596,
1998-04-22,,,3200,,,,,0,0,
1998-04-23,,,0,,,,,0,285,
1998-04-24,,,0,,,,,0,0,
