Date,KBP1405W,KBP1407W,KBP1409W,KBP1411W,KBP1412W,KBP1413W,KBP1444W,KBP1446W,KBP1447W,KBP1450W,KBP1451W,KBP1460W,KBP1461W,KBP1462W,KBP1463W,KBP1464W,KBP1465W,KBP1466W,KBP1467W
1981-01-06,6.21,,,8.6,9.3,10.8,,,,,,,,,,,,,
1981-01-12,6.48,,,9.0,10.45,11.5,,,,,,,,,,,,,
1981-01-18,6.56,,,9.5,10.5,12.3,,,,,,,,,,,,,
1981-01-24,6.6,,,9.7,10.5,12.3,,,,,,,,,,,,,
1981-01-30,6.77,,,9.7,10.5,12.3,,,,,,,,,,,,,
1981-02-06,7.52,,,10.7,10.9,12.25,,,,,,,,,,,,,
1981-02-12,7.5,,,10.8,11.6,12.5,,,,,,,,,,,,,
1981-02-18,7.44,,,11.0,11.95,13.0,,,,,,,,,,,,,
1981-02-24,7.45,,,11.0,11.75,13.0,,,,,,,,,,,,,
1981-03-06,7.48,,,10.7,11.8,13.5,,,,,,,,,,,,,
1981-03-12,7.52,,,10.6,11.75,13.4,,,,,,,,,,,,,
1981-03-18,7.6,,,10.75,11.8,13.6,,,,,,,,,,,,,
1981-03-24,7.68,,,10.8,12.25,14.0,,,,,,,,,,,,,
1981-04-06,7.76,,,10.4,12.0,14.0,,,,,,,,,,,,,
1981-04-12,7.74,,,10.3,11.85,13.5,,,,,,,,,,,,,
1981-04-18,7.76,,,10.3,0.0,13.5,,,,,,,,,,,,,
1981-04-24,7.74,,,10.75,12.0,14.5,,,,,,,,,,,,,
1981-05-06,7.8,,,11.0,12.2,14.5,,,,,,,,,,,,,
1981-05-12,8.69,,,11.25,12.2,14.5,,,,,,,,,,,,,
1981-05-18,8.8,,,12.25,13.5,15.0,,,,,,,,,,,,,
1981-05-24,8.8,,,12.8,13.5,15.0,,,,,,,,,,,,,
1981-05-30,8.88,,,13.5,14.0,15.0,,,,,,,,,,,,,
1981-06-06,9.0,,,14.25,14.25,15.15,,,,,,,,,,,,,
1981-06-12,9.08,,,15.5,15.5,15.5,,,,,,,,,,,,,
1981-06-18,9.16,,,16.0,16.0,15.75,,,,,,,,,,,,,
1981-06-24,10.0,,,16.5,16.5,15.5,,,,,,,,,,,,,
1981-07-06,10.0,,,16.5,16.0,15.0,,,,,,,,,,,,,
1981-07-12,10.08,,,16.1,16.25,15.0,,,,,,,,,,,,,
1981-07-18,10.12,,,16.6,16.25,15.5,,,,,,,,,,,,,
1981-07-24,11.25,,,16.75,16.25,16.0,,,,,,,,,,,,,
1981-07-30,11.25,,,16.75,16.25,16.0,,,,,,,,,,,,,
1981-08-06,11.26,,,16.75,16.75,16.0,,,,,,,,,,,,,
1981-08-12,11.28,,,16.75,16.75,16.0,,,,,,,,,,,,,
1981-08-18,11.28,,,16.0,16.0,15.5,,,,,,,,,,,,,
1981-08-24,11.28,,,15.0,15.5,15.5,,,,,,,,,,,,,
1981-09-06,11.28,,,14.1,15.6,15.0,,,,,,,,,,,,,
1981-09-12,11.28,,,14.1,15.0,15.5,,,,,,,,,,,,,
1981-09-18,11.31,,,14.15,15.51,16.0,,,,,,,,,,,,,
1981-09-24,11.33,,,14.8,15.5,16.0,,,,,,,,,,,,,
1981-10-06,11.35,,,14.7,15.3,15.5,,,,,,,,,,,,,
1981-10-12,11.4,,,14.5,15.25,15.5,,,,,,,,,,,,,
1981-10-18,11.47,,,14.25,15.0,15.25,,,,,,,,,,,,,
1981-10-24,11.69,,,14.0,15.0,15.0,,,,,,,,,,,,,
1981-10-30,11.89,,,14.1,15.0,15.0,,,,,,,,,,,,,
1981-11-06,12.05,,,14.3,15.1,15.25,,,,,,,,,,,,,
1981-11-12,12.23,,,14.5,15.25,15.5,,,,,,,,,,,,,
1981-11-18,12.26,,,14.5,15.25,15.5,,,,,,,,,,,,,
1981-11-24,12.4,,,14.95,15.25,15.5,,,,,,,,,,,,,
1981-12-06,12.59,,,14.95,15.25,15.5,,,,,,,,,,,,,
1981-12-12,12.72,,,15.1,15.3,15.5,,,,,,,,,,,,,
1981-12-18,14.03,,,16.0,16.25,16.25,,,,,,,,,,,,,
1981-12-24,14.04,,,16.0,15.75,15.6,,,,,,,,,,,,,
1982-01-06,14.04,,,16.0,15.75,15.6,,,,,,,,,,,,,
1982-01-12,14.11,,,15.3,15.5,15.25,,,,,,,,,,,,,
1982-01-18,14.25,,,15.6,15.7,15.8,,,,,,,,,,,,,
1982-01-24,14.48,,,16.2,16.25,16.5,,,,,,,,,,,,,
1982-01-30,14.75,,,16.75,16.5,16.5,,,,,,,,,,,,,
1982-02-06,14.91,,,17.25,17.0,16.5,,,,,,,,,,,,,
1982-02-12,15.11,,,17.0,16.5,16.5,,,,,,,,,,,,,
1982-02-18,15.61,,,17.75,17.0,16.5,,,,,,,,,,,,,
1982-02-24,15.74,,,18.25,17.5,16.75,,,,,,,,,,,,,
1982-03-06,15.76,,,19.0,18.0,17.5,,,,,,,,,,,,,
1982-03-12,15.78,,,19.0,18.5,18.5,,,,,,,,,,,,,
1982-03-18,15.84,,,19.5,19.0,18.5,,,,,,,,,,,,,
1982-03-24,15.84,,,20.0,20.25,18.5,,,,,,,,,,,,,
1982-04-06,15.68,,,17.6,17.25,16.25,,,,,,,,,,,,,
1982-04-12,15.71,,,16.75,17.9,16.75,,,,,,,,,,,,,
1982-04-18,15.69,,,17.5,17.25,17.25,,,,,,,,,,,,,
1982-04-24,15.78,,,17.5,17.5,17.5,,,,,,,,,,,,,
1982-04-30,15.8,,,17.25,17.25,17.0,,,,,,,,,,,,,
1982-05-06,15.84,,,17.15,17.3,17.0,,,,,,,,,,,,,
1982-05-12,15.88,,,17.0,17.0,17.0,,,,,,,,,,,,,
1982-05-18,15.91,,,17.15,17.3,17.25,,,,,,,,,,,,,
1982-05-24,15.96,,,17.4,17.5,17.25,,,,,,,,,,,,,
1982-06-06,15.98,,,16.5,17.1,17.25,,,,,,,,,,,,,
1982-06-12,16.05,,,17.2,17.25,17.2,,,,,,,,,,,,,
1982-06-18,16.18,,,17.75,17.5,17.35,,,,,,,,,,,,,
1982-06-24,16.26,,,18.0,17.6,17.4,,,,,,,,,,,,,
1982-07-06,16.36,,,18.0,17.6,17.5,,,,,,,,,,,,,
1982-07-12,16.48,,,18.1,17.75,17.65,,,,,,,,,,,,,
1982-07-18,16.46,,,17.9,17.6,17.3,,,,,,,,,,,,,
1982-07-24,16.45,,,17.9,17.6,17.1,,,,,,,,,,,,,
1982-07-30,16.42,,,17.9,17.6,17.25,,,,,,,,,,,,,
1982-08-06,16.24,,,17.25,17.0,16.9,,,,,,,,,,,,,
1982-08-12,16.2,,,17.4,17.25,17.2,,,,,,,,,,,,,
1982-08-18,16.17,,,17.1,16.9,16.9,,,,,,,,,,,,,
1982-08-24,16.22,,,17.75,17.25,17.0,,,,,,,,,,,,,
1982-09-06,16.24,,,17.75,17.25,16.5,,,,,,,,,,,,,
1982-09-12,16.26,,,17.5,17.05,16.5,,,,,,,,,,,,,
1982-09-18,16.32,,,17.75,17.25,16.75,,,,,,,,,,,,,
1982-09-24,16.35,,,18.5,17.0,16.4,,,,,,,,,,,,,
1982-10-06,15.5,,,16.25,15.8,14.75,,,,,,,,,,,,,
1982-10-12,15.8,,,16.4,15.9,15.65,,,,,,,,,,,,,
1982-10-18,15.86,,,16.75,16.25,15.9,,,,,,,,,,,,,
1982-10-24,15.95,,,17.1,16.55,15.8,,,,,,,,,,,,,
1982-10-30,15.44,,,16.5,15.8,15.4,,,,,,,,,,,,,
1982-11-06,15.12,,,16.1,15.5,13.5,,,,,,,,,,,,,
1982-11-12,14.92,,,15.5,15.0,13.5,,,,,,,,,,,,,
1982-11-18,14.52,,,15.3,14.5,13.0,,,,,,,,,,,,,
1982-11-24,14.57,,,15.9,14.75,13.3,,,,,,,,,,,,,
1982-12-06,14.54,,,15.25,14.5,13.1,,,,,,,,,,,,,
1982-12-12,14.47,,,15.4,13.9,13.0,,,,,,,,,,,,,
1982-12-18,14.41,,,15.25,13.9,13.1,,,,,,,,,,,,,
1982-12-24,14.34,,,15.3,14.2,13.1,,,,,,,,,,,,,
1982-12-30,14.1,,,15.35,13.95,13.1,,,,,,,,,,,,,
1983-01-06,13.68,,,14.7,13.5,12.7,,,,,,,,,,,,,
1983-01-12,12.88,,,13.3,12.5,11.6,,,,,,,,,,,,,
1983-01-18,12.55,,,13.25,12.3,11.35,,,,,,,,,,,,,
1983-01-24,12.31,,,13.2,11.7,10.65,,,,,,,,,,,,,
1983-02-06,11.19,,,11.9,10.75,9.9,,,,,,,,,,,,,
